title,rening,descript
1. Атака титанов,9.1,"After his hometown is destroyed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction."
2. Блич: Тысячелетняя кровавая война,9.0,"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town."
3. Ван-Пис,9.0,"Monkey D. Luffy sets off on an adventure with his pirate crew in hopes of finding the greatest treasure ever, known as the ""One Piece."""
4. Охотник х Охотник,9.0,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger."
5. Стальной алхимик,9.1,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.
6. Легенда о героях Галактики,9.0,"Various people, especially two rising commanders, cope with a massive continual space conflict between two interstellar nations."
8. The Lo0n,9.2,"The government says radiation has infested everything. The food we eat, the water we drink, the air we breathe. They've issued masks for everyone to wear when outside and anti-radiation medication is being distributed weekly around the world. People live in fear. Of everything, everyone. Some people don't believe the government, they think it's a conspiracy. But, Vincent, he just doesn't care. He doesn't wear a mask anywhere and sells his pills on the streets to the paranoid. Everyone thinks he's gone mad in the head."
